NomenclatureCode,Nomenclature,ProductGroup,ProductGroupDescription,ProductCode,ProductDescription
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30199,Other live fish
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30211,Fresh or chilled trout
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30212,"Fresh or chilled Pacific, Atlantic and Danube s"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30219,Fresh or chilled salmonidae (excl. 0302.11 and
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30221,Fresh or chilled halibut
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30222,Fresh or chilled plaice
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30223,Fresh or chilled sole
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30229,"Fresh or chilled flat fish (excl. halibut, plai"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30231,Fresh or chilled albacore or longfinned tunas
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30232,Fresh or chilled yellowfin tunas
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30233,Fresh or chilled skipjack or stripe-bellied bon
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30239,"Fresh or chilled tunas, nes"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30240,Fresh or chilled herrings (excl. livers and roe
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30250,Fresh or chilled cod (excl. livers and roes)
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30261,"Fresh or chilled sardines, brisling or sparts"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30262,Fresh or chilled haddock
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30263,Fresh or chilled coalfish
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30264,Fresh or chilled mackerel
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30265,Fresh or chilled dogfish and other sharks
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30266,Fresh or chilled eels
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30269,"Fresh or chilled fish, nes"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30270,Fresh or chilled fish livers and roes
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,0302AA,  UN Special Code
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30310,Frozen Pacific salmon
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30321,Frozen trout
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30322,Frozen Atlantic and Danube salmon
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30329,"Frozen salmonidae (excl. Pacific, Atlantic, Dan"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30331,Frozen halibut
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30332,Frozen plaice
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30333,Frozen sole
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30339,"Frozen flat fish (excl. halibut, plaice and sol"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30341,Frozen albacore or longfinned tunas
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30342,Frozen yellowfin tunas
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30343,Frozen skipjack or stripe-bellied bonito
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30349,"Frozen tunas, nes"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30350,Frozen herrings (excl. livers and roes)
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30360,Frozen cod (excl. livers and roes)
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30371,"Frozen sardines, brisling or sprats"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30372,Frozen haddock
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30373,Frozen coalfish
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30374,Frozen mackerel
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30375,Frozen dogfish and sharks
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30376,Frozen eels
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30377,Frozen sea-bass
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30378,Frozen hake
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30379,"Frozen fish, nes"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30380,Frozen fish livers and roes
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,0303AA,  UN Special Code
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30410,Fresh or chilled fish fillets
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30420,Frozen fish fillets
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30490,Frozen fish meat (excl. fillets)
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30611,Frozen rock lobster and other sea crawfish
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30612,Frozen lobsters
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30613,Frozen shrimps and prawns
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30614,Frozen crabs
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30619,"Frozen crustaceans,nes,including flours,meals &"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30710,Oysters
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30721,"Scallops, live, fresh or chilled"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30731,"Mussels, live, fresh or chilled"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30741,"Cuttle fish and squid, live, fresh or chilled"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30751,"Octopus live, fresh or chilled"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30760,Snails other than sea snails
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,30791,"Aquatic invertebrates, nes, live, fresh or chil"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,40110,"Milk and cream of =<1% fat, not concentrated or"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,40120,"Milk and cream of >1% but =<6% fat, not concent"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,40130,"Milk and cream of >6% fat, not concentrated or"
